uniqueid,country,barcode,old_subjid,new_subjid,reason,corrected_at,corrected_by
7cd18048-c023-4c5c-b439-bcf50cd65681,BF,R21B-005-553G,21050050025,21050059025,device 105 counter reset 2026-08-03,2026-08-12T07:19:12,glavoy
3a422a48-9ff5-45cd-865e-0d12f171a0d5,BF,R21B-005-BUUU,21050050026,21050059026,device 105 counter reset 2026-08-03,2026-08-12T07:19:12,glavoy
09ec1313-1b0b-4b79-a21f-4416640f7009,BF,R21B-005-UVHX,21050050027,21050059027,device 105 counter reset 2026-08-03,2026-08-12T07:19:12,glavoy
2a5b3d30-2caa-4bf7-9f9b-6f49fb140fdc,BF,R21B-005-4MSE,21050050028,21050059028,device 105 counter reset 2026-08-03,2026-08-12T07:19:12,glavoy
8d7a9b31-f3a0-4c23-baef-3cb3cf3c168a,BF,R21B-005-MDHV,21050050029,21050059029,device 105 counter reset 2026-08-03,2026-08-12T07:19:12,glavoy
a3278318-0549-4e63-9753-0ae29a29bf8e,BF,R21B-010-QVRZ,21100100001,21100109001,DevideID 110 reinstalled app and reset record counter,2026-08-15T05:41:21,glavoy
4adb68df-e49a-49a6-92f9-a4d975cb33ec,BF,R21B-010-FGC9,21100100002,21100109002,DevideID 110 reinstalled app and reset record counter,2026-08-15T05:41:21,glavoy
dfa5913f-0eb3-4dc6-b8c7-3b87c5c928a7,BF,R21B-010-VUZ3,21100100003,21100109003,DevideID 110 reinstalled app and reset record counter,2026-08-15T05:41:21,glavoy
8b087182-1e63-451f-aab7-6315c26ef293,BF,R21B-010-VR66,21100100004,21100109004,DevideID 110 reinstalled app and reset record counter,2026-08-15T05:41:21,glavoy
7502f5cb-4516-4262-870b-a23af3b058de,BF,R21B-010-RK6E,21100100005,21100109005,DevideID 110 reinstalled app and reset record counter,2026-08-15T05:41:21,glavoy
c63ca5b0-1b1b-4f6f-bfa1-051a088b95a1,BF,R21B-010-CS5E,21100100006,21100109006,DevideID 110 reinstalled app and reset record counter,2026-08-15T05:41:21,glavoy
018e4b5f-6018-4573-aa2d-56dfb97f5c34,BF,R21B-010-VJ45,21100100007,21100109007,DevideID 110 reinstalled app and reset record counter,2026-08-15T05:41:21,glavoy
6b5a9796-1e96-4039-9715-630ccf3bd6fa,BF,R21B-010-5T4P,21100100008,21100109008,DevideID 110 reinstalled app and reset record counter,2026-08-15T05:41:21,glavoy
fef8df5d-8aa0-43e6-9f3a-6270480fd3ff,BF,R21B-010-RZH3,21100100009,21100109009,DevideID 110 reinstalled app and reset record counter,2026-08-15T05:41:21,glavoy
f2ddd33d-a5b5-431c-b167-ae2d8f3862be,BF,R21B-010-SZXX,21100100010,21100109010,DevideID 110 reinstalled app and reset record counter,2026-08-15T05:41:21,glavoy
bb2edee8-b5ea-46c3-b5f6-eeda086f9783,BF,R21B-010-U8Q3,21100100011,21100109011,DevideID 110 reinstalled app and reset record counter,2026-08-15T05:41:21,glavoy
873817b7-f943-45a2-a817-ab85ad746dde,BF,R21B-010-RZUG,21100100012,21100109012,DevideID 110 reinstalled app and reset record counter,2026-08-15T05:41:21,glavoy
8d054a34-b065-4142-8f8f-fdafbcfa4c77,BF,R21B-010-BAZ8,21100100013,21100109013,DevideID 110 reinstalled app and reset record counter,2026-08-15T05:41:21,glavoy
12357ed1-4785-4d0d-aa3c-6635f744a4f0,BF,R21B-010-TBPF,21100100014,21100109014,DevideID 110 reinstalled app and reset record counter,2026-08-15T05:41:21,glavoy
5f62039e-f52a-4400-a46f-5657962c3b27,BF,R21B-010-RQGN,21100100015,21100109015,DevideID 110 reinstalled app and reset record counter,2026-08-15T05:41:21,glavoy
33511eb5-0823-408e-849e-1394323396ef,BF,R21B-010-X7BR,21100100016,21100109016,DevideID 110 reinstalled app and reset record counter,2026-08-15T05:41:21,glavoy
301e90d1-e7a2-4308-8303-f944d52764ba,BF,R21B-010-X8FN,21100100017,21100109017,DevideID 110 reinstalled app and reset record counter,2026-08-15T05:41:21,glavoy
4571fe53-7325-43cc-b608-588073f8c626,BF,R21B-010-4ZD8,21100100018,21100109018,DevideID 110 reinstalled app and reset record counter,2026-08-15T05:41:21,glavoy
4320cdb4-2bc9-4afe-adec-72215a129ebf,BF,R21B-010-AN48,21100100019,21100109019,DevideID 110 reinstalled app and reset record counter,2026-08-15T05:41:21,glavoy
c2051720-8483-45f2-9227-4e05fe02f4b8,BF,R21B-010-ZMT2,21100100020,21100109020,DevideID 110 reinstalled app and reset record counter,2026-08-15T05:41:21,glavoy
4f26d25c-075b-42d7-887a-72aa8a46a506,BF,R21B-010-2F7N,21100100021,21100109021,DevideID 110 reinstalled app and reset record counter,2026-08-15T05:41:21,glavoy
23517bcb-7bcc-4e35-a216-174b6568ccc0,BF,R21B-010-Q3BD,21100100022,21100109022,Fixed duplicate ID's,2026-08-18T09:20:08,glavoy
aa1123ff-fa4e-4fd9-aed7-600d272cae7e,BF,R21B-010-CY3G,21100100023,21100109023,Fixed duplicate ID's,2026-08-18T09:20:08,glavoy
8966d687-175c-4f1e-a0fa-d91b8e4f32b1,BF,R21B-010-2PT5,21100100024,21100109024,Fixed duplicate ID's,2026-08-18T09:20:08,glavoy
aacefa02-6e23-4e97-b587-77edd9f5888c,BF,R21B-010-B87S,21100100025,21100109025,Fixed duplicate ID's,2026-08-18T09:20:08,glavoy
fad56a9a-b2a4-42fc-8e49-c237fff12448,BF,R21B-010-Q68E,21100100026,21100109026,Fixed duplicate ID's,2026-08-18T09:20:08,glavoy
12080ec7-f6f0-401a-ae77-7dcbaef04447,BF,R21B-010-H8GV,21100100027,21100109027,Fixed duplicate ID's,2026-08-18T09:20:08,glavoy
73266132-7310-4485-9225-f1111f92ea99,BF,R21B-010-TBZ7,21100100028,21100109028,Fixed duplicate ID's,2026-08-18T09:20:08,glavoy
9144fcef-8eb8-4fa6-9fbf-60bd58d420de,BF,R21B-010-YVP8,21100100029,21100109029,Fixed duplicate IDs,2026-08-19T05:05:44,glavoy
907c2ef4-32a6-4994-b186-ecf8f41408cb,BF,R21B-010-WXUB,21100100030,21100109030,Fixed duplicate IDs,2026-08-19T05:05:44,glavoy
7c4a9113-cbab-4596-9aaf-999768e8ec79,BF,R21B-010-T2T7,21100100031,21100109031,Fixed duplicate IDs,2026-08-19T05:05:44,glavoy
8324b734-5b84-4d52-8b3a-81366ce6e266,BF,R21B-010-8DHA,21100100032,21100109032,Fixed duplicate IDs,2026-08-19T05:05:44,glavoy
bb3ac613-c68c-45ea-9806-06285e5e990c,BF,R21B-010-JKWG,21100100033,21100109033,Fixed duplicate IDs,2026-08-19T05:05:44,glavoy
64c0bbba-1ac9-49d9-9a74-622d2436f4d6,BF,R21B-010-4BAD,21100100034,21100109034,Fixed duplicate IDs,2026-08-19T05:05:44,glavoy
ffbcfc73-d2be-497a-9c77-333dec41e414,BF,R21B-010-B9QH,21100100035,21100109035,Fixed duplicate IDs,2026-08-19T05:05:44,glavoy
cf29574c-7397-48cd-8aaa-b4a8edb31bed,BF,R21B-010-YGPZ,21100100036,21100109036,Fixed duplicate IDs,2026-08-19T05:05:44,glavoy
1aaffa88-7b53-443c-8112-3484973ef4ee,BF,R21B-010-WKEJ,21100100037,21100109037,Fixed duplicate IDs,2026-08-19T05:05:44,glavoy
12d75e68-16e3-4a4b-a39c-31163a5c0ebb,BF,R21B-010-JDRJ,21100100038,21100109038,Fixed duplicate IDs,2026-08-19T05:05:44,glavoy
08bf558d-539e-41bb-8011-b37248b4f0ba,BF,R21B-010-QM7A,21100100039,21100109039,Fixed duplicate IDs,2026-08-19T05:05:44,glavoy
9264d5fb-bd4e-4b3f-a5cc-0203214d93c7,BF,R21B-010-F5TE,21100100040,21100109040,Fixed duplicate IDs,2026-08-19T05:05:44,glavoy
